#dP2026  9  3  0  0  0.00000000     289 d     IGc20 FIT AIUB
## 2434 345600.00000000   300.00000000 61286 0.0000000000000
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
/* Center for Orbit Determination in Europe (CODE)                              
/* Rapid GNSS orbits and clocks for year-day 2026-246                           
/* Middle day of a 3-day long-arc GRE solution                                  
/* Product reference - DOI 10.48620/97772                                       
/* PCV:IGS20_2425 OL/AL:FES2014b NONE     YN ORB:CoN CLK:CoN                    
*  2026  9  3  0  0  0.00000000
PG01   -266.614280 -15458.589576 -21598.204127    181.642758
PG02   7799.000244 -16680.480179 -18542.991881    168.877876
PG03  -9177.684754 -21495.645896 -12915.093500    289.155499
PG05  -2704.851588  16220.777921  20678.753641   -236.482980
PG06 -26098.262343   4988.707442  -1925.971571   -534.086571
PG07 -16904.597461  -9417.838400  18986.801052   -221.187552
PG08   4817.117348 -25842.850501   -790.429319    357.089720
PG09  -9448.418511 -16148.419200  18708.939425    687.434508
PG10  20892.383910   8259.903425 -14164.474223   -540.201929
PG12   6446.755091  21994.024168 -13699.283621   -602.934125
PG13   6164.134400  20595.879358 -15652.612952    437.198380
PG15   -821.355231  26505.457481  -1930.951838    441.599494
PG17 -15008.471136  -2660.909180 -21401.658536   -196.421776
PG19 -17007.513491   8981.972304 -18097.388787    704.934215
PG20 -10747.018400  23231.694712   7169.821932    276.553084
PG21 -13662.669498   7366.260908  21560.023979    370.964359
PG22 -19425.708878  -4414.530709 -17095.299563     72.394824
PG23  20863.749161  16099.944209  -4328.650616    685.362664
PG24  -4204.140684  17514.618314 -19986.557051    190.057661
PG27  12506.398798 -20693.581746  10113.677017      0.452187
PG30 -25026.168108   -101.890725   9469.593431    351.018105
*  2026  9  3  0  5  0.00000000
PG01    539.596487 -15612.586745 -21479.287672    181.639989
PG02   8497.507599 -16886.321517 -18034.408569    168.879988
PG03  -8803.443186 -21171.438348 -13697.627359    289.149264
PG05  -3319.665699  15702.187329  20985.187980   -236.482994
PG06 -26021.642834   4910.623768  -2885.896967   -534.083334
PG07 -16250.816113  -9639.985768  19445.243128   -221.188348
PG08   4932.203029 -25825.290594    158.037539    357.086634
PG09  -9249.376903 -16831.705836  18199.730888    687.431884
PG10  21243.340295   8663.330198 -13405.866581   -540.199805
PG12   6051.288629  21647.720226 -14427.362333   -602.933919
PG13   5675.411874  20234.328590 -16299.399516    437.199864
PG15   -923.132753  26533.942142   -990.924827    441.600594
PG17 -14758.726113  -3465.576232 -21450.817720   -196.422882
PG19 -16821.722364   8300.574964 -18607.069156    704.934525
PG20 -10758.197587  22933.933901   8062.971968    276.555798
PG21 -14227.682923   6775.499999  21388.759305    370.962027
PG22 -19808.667902  -4958.429177 -16497.899311     72.397289
PG23  20938.389712  16237.123775  -3377.670945    685.363757
PG24  -4891.041953  17746.377772 -19600.908370    190.062836
PG27  12503.464108 -20260.341397  10944.003091      0.452257
PG30 -24699.856706   -290.527470  10296.920809    351.021824
*  2026  9  3  0 10  0.00000000
PG01   1338.015702 -15779.275460 -21319.250323    181.637217
PG02   9173.890583 -17096.362719 -17489.552142    168.882066
PG03  -8402.372390 -20834.463562 -14454.370552    289.143036
PG05  -3952.211000  15187.860157  21250.802422   -236.483193
PG06 -25911.741246   4821.487633  -3840.344270   -534.080102
PG07 -15585.640103  -9878.256623  19868.690601   -221.189083
PG08   5041.419009 -25774.020258   1106.191956    357.083519
PG09  -9066.397340 -17498.812469  17655.279170    687.429289
PG10  21580.894739   9039.273137 -12621.623984   -540.197655
PG12   5631.896025  21288.848668 -15128.278304   -602.933725
PG13   5162.608349  19865.788309 -16915.103333    437.201331
PG15  -1023.075035  26528.777473    -49.002499    441.601255
PG17 -14522.167702  -4275.683633 -21457.525285   -196.424423
PG19 -16641.527133   7598.999137 -19080.563713    704.934312
PG20 -10767.719129  22603.806483   8940.724983    276.558535
PG21 -14797.811432   6199.858356  21176.582393    370.959668
PG22 -20185.104501  -5478.253938 -15867.786960     72.399695
PG23  20989.075516  16348.763426  -2420.331965    685.364815
PG24  -5560.998923  17983.577171 -19179.097632    190.068022
PG27  12501.212675 -19796.282449  11752.505198      0.452444
PG30 -24347.703279   -493.604291  11104.974376    351.025533
*  2026  9  3  0 15  0.00000000
PG01   2126.954576 -15958.030770 -21118.388077    181.634532
PG02   9826.946970 -17309.266871 -16909.497508    168.884129
PG03  -7974.521854 -20486.388697 -15183.912773    289.136824
PG05  -4601.339318  14679.297311  21475.074452   -236.483268
PG06 -25769.210186   4719.980476  -4787.499389   -534.076890
PG07 -14910.664342 -10132.804469  20256.390594   -221.190219
PG08   5146.073608 -25688.848476   2052.160654    357.080454
PG09  -8899.003042 -18148.075799  17076.640272    687.426690
PG10  21903.423623   9387.840666 -11813.281480   -540.195556
PG12   5188.660086  20918.993407 -15800.736652   -602.933030
PG13   4626.187526  19491.838216 -17498.558499    437.202816
PG15  -1122.510237  26489.805218    893.013378    441.602335
PG17 -14299.326335  -5089.420480 -21421.734047   -196.425487
PG19 -16468.092346   6878.564888 -19517.004630    704.934710
PG20 -10776.980556  22241.752207   9801.408460    276.561276
PG21 -15371.556164   5640.353727  20923.902947    370.957356
PG22 -20553.395893  -5973.545887 -15206.217356     72.402562
PG23  21014.655644  16435.793470  -1458.438028    685.365878
PG24  -6212.864471  18225.064841 -18721.838022    190.073229
PG27  12500.964676 -19302.142036  12537.556329      0.452319
PG30 -23970.866123   -711.944095  11892.249695    351.029234
*  2026  9  3  0 20  0.00000000
PG01   2904.766495 -16148.137228 -20877.075263    181.631774
PG02  10455.570318 -17523.645090 -16295.395124    168.886437
PG03  -7520.050474 -20128.889985 -15884.895474    289.130620
PG05  -5265.813697  14177.940197  21657.563107   -236.483462
