#dP2026  9  5  0  0  0.00000000     289 d+D   IGc20 FIT AIUB
## 2434 518400.00000000   300.00000000 61288 0.0000000000000
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
/* Center for Orbit Determination in Europe (CODE)                              
/* Final GNSS orbits and clocks for year-day 2026-2480                          
/* Middle day of a 3-day long-arc GRE solution                                  
/* Product reference - DOI 10.48620/97773                                       
/* PCV:IGS20_2425 OL/AL:FES2014b NONE     YN ORB:CoN CLK:CoN                    
*  2026  9  5  0  0  0.00000000
PG04   -692.120399 -24406.953960  10252.002723     64.724986
PG05  -3754.483096  15353.634215  21168.046950   -236.533991
PG06 -25955.847355   4873.559326  -3467.282806   -532.221978
PG07 -15853.065194  -9773.127119  19707.241666   -221.762200
PG09  -9130.163879 -17257.090712  17858.740305    685.920463
PG11 -22234.066695  11858.764740   8315.660110   -220.097471
PG13   5312.997871  19991.205702 -16718.299367    438.043085
PG14 -22151.674706 -11028.753005  -9962.104899    749.979474
PG15   -964.562778  26535.925591   -422.288820    442.118169
PG17 -14610.590009  -3968.247507 -21460.175913   -197.223724
PG18  17343.189968   8221.266927  18550.052416   -263.876576
PG19 -16706.069727   7825.087837 -18926.057243    704.952935
PG20 -10772.211685  22718.502562   8637.277940    278.128053
PG21 -14601.390933   6393.123913  21255.138966    369.598949
PG22 -20045.838792  -5278.500830 -16109.182196     73.920804
PG24  -5305.121372  17895.414473 -19342.864933    193.045920
PG25  16461.279692  20254.761178  -6047.781677    391.613257
PG26  19285.941718  -2420.639704  18018.540873   -391.766253
PG28  25492.008840  -3892.437805  -6411.131675   -423.093200
PG29   6631.471160  19189.331674  17004.753157   -249.188309
PG30 -24474.725149   -424.605919  10821.758304    353.150195
PG31  24736.584000  -9435.770615   3273.332237   -122.964326
*  2026  9  5  0  5  0.00000000
PG04   -531.603802 -24752.158030   9390.266700     64.725083
PG05  -4397.878109  14842.503527  21405.965551   -236.534281
PG06 -25826.073990   4776.967432  -4417.498657   -532.218726
PG07 -15181.880215 -10021.707174  20109.028560   -221.763188
PG09  -8957.166150 -17913.084358  17292.427858    685.917751
PG11 -22542.410684  11861.476564   7424.824428   -220.093870
PG13   4784.494807  19618.390162 -17312.311641    438.044558
PG14 -22362.165607 -11340.329098  -9125.555735    749.979402
PG15  -1063.988029  26510.423689    519.931259    442.119069
PG17 -14382.751053  -4780.864160 -21440.292116   -197.225142
PG18  16674.507548   8457.040346  19043.480047   -263.873899
PG19 -16529.805581   7110.912368 -19374.981569    704.953230
PG20 -10781.229612  22367.494961   9504.132275    278.130787
PG21 -15173.854612   5827.704324  21016.499192    369.596544
PG22 -20417.505040  -5783.010773 -15459.372984     73.923549
PG24  -5963.826221  18135.643880 -18898.868373    193.051134
