#dP2026  9  5  0  0  0.00000000     289 d     IGc20 FIT AIUB
## 2434 518400.00000000   300.00000000 61288 0.0000000000000
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
/* Center for Orbit Determination in Europe (CODE)                              
/* Rapid GNSS orbits and clocks for year-day 2026-248                           
/* Middle day of a 3-day long-arc GRE solution                                  
/* Product reference - DOI 10.48620/97772                                       
/* PCV:IGS20_2425 OL/AL:FES2014b NONE     YN ORB:CoN CLK:CoN                    
*  2026  9  5  0  0  0.00000000
PG04   -692.120407 -24406.953952  10252.002729     64.724916
PG05  -3754.483100  15353.634213  21168.046936   -236.533766
PG06 -25955.847374   4873.559325  -3467.282812   -532.221978
PG07 -15853.065213  -9773.127122  19707.241675   -221.761971
PG09  -9130.163890 -17257.090718  17858.740302    685.920281
PG11 -22234.066699  11858.764742   8315.660105   -220.097587
PG13   5312.997871  19991.205701 -16718.299370    438.042784
PG14 -22151.674713 -11028.753004  -9962.104903    749.979439
PG15   -964.562772  26535.925581   -422.288832    442.118392
PG17 -14610.590014  -3968.247502 -21460.175919   -197.223510
PG18  17343.189972   8221.266924  18550.052422   -263.876579
PG19 -16706.069734   7825.087849 -18926.057243    704.953274
PG20 -10772.211687  22718.502564   8637.277931    278.127843
PG21 -14601.390940   6393.123912  21255.138962    369.598879
PG22 -20045.838799  -5278.500836 -16109.182199     73.920938
PG24  -5305.121372  17895.414476 -19342.864939    193.045874
PG25  16461.279687  20254.761177  -6047.781674    391.613200
PG26  19285.941716  -2420.639698  18018.540879   -391.766297
PG28  25492.008836  -3892.437796  -6411.131688   -423.093250
PG29   6631.471156  19189.331667  17004.753157   -249.187898
PG30 -24474.725172   -424.605920  10821.758312    353.150173
PG31  24736.584019  -9435.770615   3273.332252   -122.964343
*  2026  9  5  0  5  0.00000000
PG04   -531.603810 -24752.158023   9390.266706     64.725017
PG05  -4397.878112  14842.503526  21405.965537   -236.534047
PG06 -25826.074008   4776.967431  -4417.498663   -532.218729
PG07 -15181.880233 -10021.707176  20109.028568   -221.762964
PG09  -8957.166161 -17913.084363  17292.427854    685.917571
PG11 -22542.410688  11861.476566   7424.824424   -220.093984
PG13   4784.494806  19618.390161 -17312.311643    438.044260
PG14 -22362.165613 -11340.329097  -9125.555739    749.979368
PG15  -1063.988024  26510.423680    519.931246    442.119296
PG17 -14382.751058  -4780.864155 -21440.292121   -197.224932
PG18  16674.507553   8457.040344  19043.480052   -263.873897
PG19 -16529.805587   7110.912380 -19374.981567    704.953567
PG20 -10781.229615  22367.494964   9504.132266    278.130583
PG21 -15173.854620   5827.704324  21016.499189    369.596482
PG22 -20417.505046  -5783.010778 -15459.372987     73.923676
PG24  -5963.826221  18135.643884 -18898.868380    193.051098
PG25  16229.276742  20166.314706  -6942.034312    391.612144
PG26  19809.355423  -1965.725135  17518.383078   -391.766663
PG28  25271.132408  -3732.211204  -7315.846651   -423.090050
PG29   6395.844463  19787.308159  16394.826388   -249.185832
PG30 -24106.424226   -637.394532  11616.557157    353.153871
PG31  24872.341665  -9389.799702   2337.924930   -122.963720
*  2026  9  5  0 10  0.00000000
PG04   -384.780181 -25068.099983   8510.384190     64.725098
PG05  -5057.041209  14338.099062  21602.237362   -236.533821
PG06 -25664.126916   4667.206610  -5359.324661   -532.215453
PG07 -14501.883341 -10286.617515  20474.638798   -221.764013
PG09  -8799.404540 -18550.202791  16692.632038    685.914939
PG11 -22818.220105  11859.863262   6519.727655   -220.090383
PG13   4232.751204  19241.202347 -17873.322913    438.045769
PG14 -22554.216894 -11627.107683  -8271.771826    749.979280
PG15  -1163.735859  26451.069103   1461.152765    442.120250
PG17 -14168.910958  -5595.959692 -21377.925715   -197.226392
PG18  15993.040278   8710.442221  19500.968954   -263.871218
PG19 -16361.026878   6378.793767 -19786.315917    704.953529
PG20 -10790.877164  21984.901593  10352.843808    278.133350
PG21 -15748.936922   5279.036925  20737.666414    369.594103
PG22 -20780.007390  -6262.762253 -14778.920760     73.926296
PG24  -6603.759466  18379.408533 -18419.901759    193.056271
PG25  15970.545654  20060.670615  -7823.348464    391.611091
PG26  20323.612976  -1530.673251  16984.523275   -391.767037
PG28  25021.380002  -3556.336901  -8206.572218   -423.086832
PG29   6176.678987  20366.480531  15753.228538   -249.183356
PG30 -23714.220516   -865.935398  12389.625165    353.157567
PG31  24975.244882  -9335.821748   1398.104387   -122.962918
*  2026  9  5  0 15  0.00000000
PG04   -250.559265 -25353.729653   7614.050246     64.725184
PG05  -5730.679549  13841.819945  21756.476701   -236.533828
PG06 -25470.822559   4543.039645  -6290.968575   -532.212214
PG07 -13814.689103 -10567.860009  20803.417404   -221.765042
PG09  -8656.249926 -19166.867372  16060.516963    685.912293
PG11 -23061.303553  11852.491847   5602.104206   -220.086801
PG13   3658.399283  18861.192691 -18400.271937    438.047236
PG14 -22726.514219 -11889.536442  -7402.377304    749.979190
PG15  -1265.138536  26357.876278   2399.562328    442.121219
PG17 -13969.439542  -6411.680808 -21273.170927   -197.227885
PG18  15300.505586   8981.628069  19921.634650   -263.868551
PG19 -16200.780629   5630.170670 -20159.318656    704.953502
PG20 -10802.513542  21571.335670  11181.796453    278.136061
PG21 -16325.063943   4747.989507  20419.177517    369.591715
PG22 -21131.722933  -6717.473985 -14069.182612     73.928890
PG24  -7223.891949  18625.463810 -17906.784951    193.061437
PG25  15684.749050  19939.186240  -8690.094784    391.610046
PG26  20827.155254  -1115.682348  16418.036656   -391.767430
PG28  24743.814818  -3363.826515  -9081.604719   -423.083617
PG29   5973.432833  20925.287540  15081.190455   -249.181574
PG30 -23299.378818  -1110.929175  13139.523530    353.161236
PG31  25045.588347  -9272.504031    455.647842   -122.962003
*  2026  9  5  0 20  0.00000000
PG04   -127.788752 -25608.090567   6702.993118     64.725299
PG05  -6417.419444  13354.996030  21868.380859   -236.533885
PG06 -25247.074384   4403.287682  -7210.656111   -532.208950
PG07 -13121.916597 -10865.342130  21094.771527   -221.765877
PG09  -8526.984478 -19761.559764  15397.309777    685.909662
PG11 -23271.579504  11837.931843   4673.713768   -220.083204
PG13   3062.170214  18479.885139 -18892.162554    438.048702
PG14 -22877.791990 -12128.153958  -6519.022961    749.979105
PG15  -1369.522060  26230.967492   3333.343829    442.122153
PG17 -13784.606009  -7226.157895 -21126.209114   -197.229268
PG18  14598.641799   9270.651690  20304.660219   -263.865914
PG19 -16050.036698   4866.545933 -20493.325362    704.953564
PG20 -10817.465927  21127.512934  11989.412349    278.138772
PG21 -16900.624499   4235.334692  20061.644994    369.589318
PG22 -21471.038324  -7146.974572 -13331.574775     73.931514
PG24  -7823.271878  18872.514541 -17360.402510    193.066600
PG25  15371.644615  19803.251142  -9540.673145    391.608979
PG26  21318.435072   -720.851421  15820.058038   -391.767829
PG28  24439.581541  -3153.763845  -9939.270375   -423.080413
PG29   5785.474289  21462.223317  14380.003040   -249.179204
PG30 -22863.221929  -1372.997198  13864.856602    353.164925
PG31  25083.769186  -9198.541271   -487.667073   -122.961201
*  2026  9  5  0 25  0.00000000
PG04    -15.260115 -25830.324066   5778.970825     64.725386
PG05  -7115.811646  12878.882442  21937.730783   -236.534234
PG06 -24993.888952   4246.836101  -8116.634245   -532.205684
PG07 -12425.183561 -11178.876826  21348.171291   -221.766558
PG09  -8410.805418 -20332.827978  14704.298192    685.907016
PG11 -23449.076256  11814.762180   3736.337926   -220.079579
PG13   2444.891776  18098.770695 -19348.065492    438.050187
PG14 -23006.838866 -12343.586538  -5623.383172    749.979042
PG15  -1478.199533  26070.572950   4260.682044    442.123081
PG17 -13614.577879  -8037.512634 -20937.308575   -197.230720
PG18  13889.201366   9577.464247  20649.297941   -263.863268
PG19 -15909.683652   4089.480685 -20787.749694    704.953509
PG20 -10837.023133  20654.249044  12774.154848    278.141557
PG21 -17473.976642   3741.747356  19665.755760    369.586935
PG22 -21796.357076  -7551.202282 -12567.569450     73.934012
PG24  -8401.028285  19119.220237 -16781.702693    193.071803
PG25  15031.086618  19654.280901 -10373.515267    391.607927
PG26  21795.923530   -346.180843  15191.779327   -391.768235
PG28  24109.901450  -2925.309630 -10777.928494   -423.077193
PG29   5612.085269  21975.843538  13651.014746   -249.176868
PG30 -22407.125338  -1652.678161  14564.274259    353.168610
PG31  25090.284738  -9112.661804  -1430.065507   -122.960320
*  2026  9  5  0 30  0.00000000
PG04     88.285309 -26019.672990   4843.767688     64.725454
PG05  -7824.336972  12414.654463  21964.391525   -236.534414
PG06 -24712.361680   4072.640145  -9007.174519   -532.202423
PG07 -11726.100562 -11508.182768  21563.150604   -221.767777
PG09  -8306.829228 -20879.292175  13982.827874    685.904365
PG11 -23593.931425  11781.578066   2791.776707   -220.075985
PG13   1807.485600  17719.301133 -19767.120047    438.051647
PG14 -23112.503075 -12536.544682  -4717.152833    749.978944
PG15  -1592.464500  25877.030389   5179.766275    442.123798
PG17 -13459.420444  -8843.865641 -20706.824158   -197.231919
PG18  13173.944052   9901.913775  20954.870828   -263.860575
PG19 -15780.525032   3300.588213 -21042.084092    704.953403
PG20 -10862.429460  20152.456564  13534.531369    278.144277
PG21 -18043.454325   3267.802476  19232.269821    369.584539
